date	latitude	longitude	suicide	attacktype1	targtype1	weaptype1	nkill	nwound	iyear	imonth	iday	provstate
17/01/2000	24.893379	67.028061	0	3	14	6	9	25	2000	01	17	Sindh
28/01/2000	24.893379	67.028061	0	3	15	6	4	28	2000	01	28	Sindh
28/01/2000	24.893379	67.028061	0	3	2	6	0	4	2000	01	28	Sindh
29/01/2000	32.493537	74.530343	0	3	1	6	2	3	2000	01	29	Punjab
05/02/2000	25.377846	68.346304	0	3	14	6	4	15	2000	02	05	Sindh
10/03/2000	24.893379	67.028061	0	1	2	5	3	0	2000	03	10	Sindh
28/03/2000	34.119766	71.104745	0	3	14	6	7	27	2000	03	28	Federally Administered Tribal Areas
04/04/2000			0	1	2	5	2	2	2000	04	04	Unknown
05/04/2000	25.377846	68.346304	0	3	2	6	0	7	2000	04	05	Sindh
07/04/2000	33.600399	73.043426	0	3	18	6	0	4	2000	04	07	Punjab
07/04/2000	31.554606	74.357158	0	3	19	6	0	15	2000	04	07	Punjab
12/04/2000	32.222559	74.450203	0	3	15	6	16		2000	04	12	Punjab
24/04/2000	30.182125	67.000517	0	3	2	6	0	2	2000	04	24	Balochistan
24/04/2000	30.182125	67.000517	0	3	2	6	0	3	2000	04	24	Balochistan
24/04/2000	30.182125	67.000517	0	3	2	6	0	0	2000	04	24	Balochistan
26/04/2000	30.292088	71.931244	0	2	2	5	2	0	2000	04	26	Punjab
05/05/2000	24.893379	67.028061	0	3	3	6	2	4	2000	05	05	Sindh
05/05/2000	24.893379	67.028061	0	3	14	6	0	2	2000	05	05	Sindh
18/05/2000	24.893379	67.028061	0	1	14	5	2	2	2000	05	18	Sindh
07/07/2000	31.554606	74.357158	0	3	14	6	1	3	2000	07	07	Punjab
13/07/2000	31.449993	74.355636	0	3	14	6	0	5	2000	07	13	Punjab
16/07/2000	25.377846	68.346304	0	1	10	5	0	2	2000	07	16	Sindh
16/07/2000	25.377846	68.346304	0	3	19	6	9	25	2000	07	16	Sindh
